--- BAREMETAL INFERENCE MODULE STANDBY ---

Pred(0.9979) T(0.0401) | [TRUE-POSITIVE] Securing Hypervisor! Ataque bloqueado.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0046) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0046) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0045) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
Pred(0.0044) T(0.0401) | [FALSE-NEGATIVE] Quebra de barreira! Ataque passou.
