CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
00:07:24.906 119854879 19791235 276424 147 1.0
00:07:25.306 119856038 19483705 279103 72 1.0
00:07:25.506 119854849 19783117 276309 146 1.0
00:07:25.706 119855614 19888691 275504 143 1.0
00:07:25.906 119854851 19783247 276309 148 1.0
00:07:26.306 119856045 19492081 279223 79 1.0
00:07:26.506 119854822 19782945 276307 145 1.0
00:07:26.706 119855612 19880287 275386 146 1.0
00:07:26.906 119854821 19783280 276310 154 1.0
00:07:27.306 119855322 19483713 279100 76 1.0
00:07:27.506 119854806 19783085 276309 159 1.0
00:07:27.706 119855565 19888728 275505 142 1.0
00:07:27.906 119854877 19783010 276306 156 1.0
00:07:28.306 119855326 19483677 279100 76 1.0
00:07:28.506 119855574 19789501 276428 143 1.0
00:07:28.706 119854907 19880393 275379 140 1.0
00:07:28.906 119854822 19783135 276309 144 1.0
00:07:29.306 119855376 19636525 277842 91 1.0
00:07:29.506 119855621 19783294 276315 138 1.0
00:07:29.706 119854799 19880382 275381 139 1.0
00:07:29.906 119855665 19791697 276433 150 1.0
00:07:30.306 119855245 19791983 276172 108 1.0
00:07:30.506 119855547 19783114 276311 146 1.0
00:07:30.706 119854777 19888627 275499 142 1.0
00:07:31.106 119855274 19483713 279101 71 1.0
00:07:31.306 119854876 19875834 275623 139 1.0
00:07:31.506 119855547 19783342 276314 147 1.0
00:07:31.706 119854759 19880251 275381 142 1.0
00:07:32.106 119855243 19491903 279217 75 1.0
00:07:32.306 119855643 19867429 275509 138 1.0
00:07:32.506 119854794 19783216 276310 143 1.0
00:07:32.706 119854708 19888354 275496 143 1.0
00:07:33.106 119855380 19483729 279100 76 1.0
00:07:33.306 119855506 19867520 275507 143 1.0
00:07:33.506 119854797 19791302 276426 143 1.0
00:07:33.706 119855641 19880479 275386 141 1.0
00:07:34.106 119855296 19491854 279217 77 1.0
00:07:34.306 119855653 19867510 275507 145 1.0
00:07:34.506 119854949 19783264 276309 145 1.0
00:07:34.706 119855718 19880243 275383 141 1.0
00:07:35.106 119855219 19483688 279099 69 1.0
00:07:35.306 119855544 19867525 275509 139 1.0
00:07:35.506 119854822 19791342 276426 148 1.0
00:07:35.706 119855595 19880470 275385 141 1.0
00:07:36.106 119855990 19483729 279104 74 1.0
00:07:36.306 119854820 19875470 275622 147 1.0
00:07:36.506 119854909 19783154 276307 148 1.0
00:07:36.706 119855592 19880281 275385 139 1.0
00:07:37.106 119856060 19483785 279105 70 1.0
00:07:37.306 119854886 19867293 275504 141 1.0
00:07:37.506 119855612 19783343 276313 141 1.0
00:07:37.706 119854856 19888480 275498 137 1.0
00:07:38.106 119856015 19483718 279104 74 1.0
00:07:38.306 119854902 19875813 275623 143 1.0
00:07:38.506 119855601 19783330 276314 142 1.0
00:07:38.706 119854829 19880251 275380 143 1.0
00:07:39.106 119855388 19492018 279219 71 1.0
00:07:39.306 119854756 19867176 275500 143 1.0
00:07:39.506 119855546 19783429 276314 147 1.0
00:07:39.706 119854913 19888473 275500 137 1.0
00:07:40.106 119855335 19483741 279101 71 1.0
00:07:40.306 119854827 19867363 275503 143 1.0
00:07:40.506 119855628 19791398 276429 146 1.0
00:07:40.706 119854852 19880206 275380 146 1.0
00:07:41.106 119855380 19491590 279214 73 1.0
00:07:41.306 119855660 19867388 275508 144 1.0
00:07:41.506 119854984 19783048 276307 148 1.0
00:07:41.706 119854798 19880360 275380 144 1.0
00:07:42.106 119855306 19483750 279101 74 1.0
00:07:42.306 119855595 19867513 275508 143 1.0
00:07:42.506 119854804 19791477 276427 148 1.0
00:07:42.706 119855524 19880243 275385 142 1.0
00:07:43.106 119855318 19483775 279101 71 1.0
00:07:43.306 119855545 19875717 275627 143 1.0
00:07:43.506 119854833 19783251 276309 142 1.0
00:07:43.706 119855492 19880352 275384 143 1.0
00:07:44.106 119855314 19483688 279099 72 1.0
00:07:44.306 119855629 19867440 275509 143 1.0
00:07:44.506 119854762 19783220 276309 141 1.0
00:07:44.706 119855511 19888373 275500 144 1.0
00:07:45.106 119856036 19483806 279105 72 1.0
00:07:45.306 119854888 19875280 275614 135 1.0
00:07:45.506 119854778 19783119 276308 146 1.0
00:07:45.706 119855588 19880222 275383 142 1.0
00:07:46.106 119856059 19491899 279221 82 1.0
00:07:46.306 119854877 19867186 275503 145 1.0
00:07:46.506 119855586 19783267 276312 143 1.0
00:07:46.706 119854895 19880227 275379 145 1.0
00:07:47.106 119856076 19483650 279103 71 1.0
00:07:47.306 119854881 19867578 275505 138 1.0
00:07:47.506 119855541 19791501 276431 149 1.0
00:07:47.706 119854894 19880328 275382 140 1.0
00:07:48.106 119855255 19483706 279100 77 1.0
00:07:48.306 119854702 19875761 275622 144 1.0
00:07:48.506 119855591 19783354 276313 147 1.0
00:07:48.706 119854981 19880328 275381 147 1.0
00:07:49.106 119855381 19483656 279099 85 1.0
00:07:49.306 119854872 19867433 275504 141 1.0
00:07:49.506 119855630 19783303 276313 144 1.0
00:07:49.706 119854721 19888435 275495 140 1.0
00:07:50.106 119855349 19483677 279099 74 1.0
00:07:50.306 119855598 19875779 275624 139 1.0
00:07:50.506 119854795 19783094 276308 142 1.0
00:07:50.706 119854806 19880247 275381 144 1.0
00:07:51.106 119855318 19492119 279222 74 1.0
00:07:51.306 119855642 19867436 275509 139 1.0
00:07:51.506 119854866 19783231 276309 146 1.0
00:07:51.706 119855572 19888478 275506 146 1.0
00:07:52.106 119855281 19483656 279099 69 1.0
00:07:52.306 119855559 19867494 275506 141 1.0
00:07:52.506 119854867 19791363 276427 141 1.0
00:07:52.706 119855611 19880585 275384 142 1.0
00:07:53.106 119855267 19576427 278417 91 1.0
00:07:53.306 119855560 19867503 275508 138 1.0
00:07:53.506 119854746 19783026 276307 145 1.0
00:07:53.706 119855578 19880325 275384 142 1.0
00:07:54.106 119856115 19731873 276754 110 1.0
00:07:54.306 119854887 19880223 275380 146 1.0
00:07:54.506 119854904 19791424 276427 144 1.0
00:07:54.906 119855333 19483663 279100 75 1.0
00:07:55.106 119855583 19783306 276315 143 1.0
00:07:55.306 119854942 19886495 275470 138 1.0
00:07:55.506 119855580 19783006 276310 148 1.0
00:07:55.906 119855236 19492065 279221 72 1.0
00:07:56.106 119855591 19783298 276314 142 1.0
00:07:56.306 119854839 19880203 275381 139 1.0
00:07:56.506 119855616 19783243 276313 145 1.0
00:07:56.906 119856084 19483865 279106 70 1.0
00:07:57.106 119854879 19783151 276309 143 1.0
00:07:57.306 119854996 19888487 275496 144 1.0
00:07:57.506 119855561 19783316 276314 143 1.0
00:07:57.906 119856150 19483748 279105 71 1.0
00:07:58.106 119854965 19791116 276424 145 1.0
00:07:58.306 119854807 19880002 275376 147 1.0
00:07:58.506 119855564 19783318 276313 145 1.0
00:07:58.906 119855984 19483818 279105 73 1.0
00:07:59.106 119854912 19783119 276309 144 1.0
00:07:59.306 119855588 19880484 275386 138 1.0
00:07:59.506 119854845 19791531 276427 149 1.0
00:07:59.906 119856061 19483820 279105 70 1.0
00:08:00.106 119854726 19791273 276426 149 1.0
00:08:00.306 119855550 19880459 275385 143 1.0
00:08:00.506 119854805 19783183 276308 147 1.0
00:08:00.907 119855284 19491982 279219 78 1.0
00:08:01.107 119854913 19783206 276309 148 1.0
00:08:01.307 119855660 19880198 275384 150 1.0
00:08:01.507 119854874 19791383 276426 144 1.0
00:08:01.907 119855365 19483719 279101 76 1.0
00:08:02.107 119854821 19783215 276310 145 1.0
00:08:02.307 119855655 19888478 275498 140 1.0
00:08:02.507 119854917 19783245 276310 141 1.0
00:08:02.907 119855299 19491949 279218 76 1.0
00:08:03.107 119855476 19783120 276312 145 1.0
00:08:03.307 119854867 19880211 275379 140 1.0
00:08:03.507 119854790 19783213 276308 147 1.0
00:08:03.907 119855209 19483593 279099 73 1.0
00:08:04.107 119855554 19783265 276313 148 1.0
00:08:04.307 119854806 19880043 275377 147 1.0
00:08:04.507 119855586 19791743 276434 145 1.0
00:08:04.907 119855305 19483624 279099 72 1.0
00:08:05.107 119855558 19791593 276433 142 1.0
00:08:05.307 119854895 19880388 275380 150 1.0
00:08:05.507 119855669 19783437 276314 147 1.0
00:08:05.907 119856087 19491750 279219 67 1.0
00:08:06.107 119854817 19783057 276309 147 1.0
00:08:06.307 119854847 19880321 275382 141 1.0
00:08:06.507 119855495 19791672 276433 144 1.0
00:08:06.907 119856045 19483793 279104 74 1.0
00:08:07.107 119854885 19783180 276309 146 1.0
00:08:07.307 119854876 19888527 275499 139 1.0
00:08:07.507 119855586 19783415 276314 141 1.0
00:08:07.907 119856045 19492148 279225 68 1.0
00:08:08.107 119854822 19783125 276309 145 1.0
00:08:08.307 119855641 19880465 275384 142 1.0
00:08:08.507 119854848 19783326 276310 141 1.0
00:08:08.907 119856037 19483774 279105 75 1.0
00:08:09.107 119854759 19783121 276308 145 1.0
00:08:09.307 119855501 19888585 275501 151 1.0
00:08:09.507 119854950 19783093 276306 149 1.0
00:08:09.907 119855336 19483674 279100 71 1.0
00:08:10.107 119854849 19788500 276386 149 1.0
00:08:10.307 119855486 19880487 275385 139 1.0
00:08:10.507 119854778 19783141 276308 144 1.0
00:08:10.907 119855345 19483694 279101 73 1.0
00:08:11.107 119854874 19783110 276309 150 1.0
00:08:11.307 119855568 19880313 275385 147 1.0
00:08:11.507 119854699 19791347 276425 149 1.0
00:08:11.907 119855422 19483510 279098 75 1.0
00:08:12.107 119855602 19791673 276435 143 1.0
00:08:12.307 119854954 19880484 275381 138 1.0
00:08:12.507 119854822 19783296 276310 145 1.0
00:08:12.907 119855345 19491959 279218 73 1.0
00:08:13.107 119855572 19783242 276314 140 1.0
00:08:13.307 119854899 19880219 275379 144 1.0
00:08:13.507 119855576 19791569 276431 143 1.0
00:08:13.907 119855307 19483590 279099 71 1.0
00:08:14.107 119855559 19783301 276314 146 1.0
00:08:14.307 119854872 19888381 275496 147 1.0
00:08:14.507 119855624 19783323 276313 147 1.0
00:08:14.907 119855986 19491840 279220 75 1.0
00:08:15.107 119854926 19783071 276308 148 1.0
00:08:15.307 119854835 19880236 275381 139 1.0
00:08:15.507 119855544 19783176 276311 149 1.0
00:08:15.907 119856108 19483881 279105 67 1.0
00:08:16.107 119854793 19783138 276310 143 1.0
00:08:16.307 119854810 19888596 275499 149 1.0
00:08:16.507 119855561 19783220 276312 144 1.0
00:08:16.907 119856020 19700782 277041 94 1.0
00:08:17.107 119854871 19791411 276428 145 1.0
00:08:17.307 119855604 19880404 275385 140 1.0
00:08:17.507 119854905 19783222 276310 146 1.0
00:08:17.907 119856131 19864441 275491 114 1.0
00:08:18.107 119854801 19783082 276308 144 1.0
00:08:18.307 119855578 19880374 275386 141 1.0
00:08:18.707 119856025 19483813 279105 72 1.0
00:08:18.907 119854855 19867444 275503 139 1.0
00:08:19.107 119854771 19791343 276426 144 1.0
00:08:19.307 119855548 19880482 275386 137 1.0
00:08:19.707 119856147 19483790 279105 75 1.0
00:08:19.907 119854837 19875380 275624 144 1.0
00:08:20.107 119854699 19783135 276308 143 1.0
00:08:20.307 119855533 19880297 275383 148 1.0
00:08:20.707 119856168 19483848 279105 73 1.0
00:08:20.907 119854756 19867194 275502 144 1.0
00:08:21.107 119855585 19783453 276315 144 1.0
00:08:21.307 119854907 19888391 275498 149 1.0
00:08:21.707 119856085 19483823 279105 70 1.0
00:08:21.907 119854798 19867354 275503 143 1.0
00:08:22.107 119855638 19791458 276430 146 1.0
00:08:22.307 119854933 19880301 275381 142 1.0
00:08:22.707 119855351 19491822 279217 74 1.0
00:08:22.907 119854835 19867360 275504 135 1.0
00:08:23.107 119855612 19783414 276315 142 1.0
00:08:23.307 119854915 19880317 275380 146 1.0
00:08:23.707 119855328 19483739 279102 71 1.0
00:08:23.907 119855604 19867449 275508 150 1.0
00:08:24.107 119854813 19791560 276428 142 1.0
00:08:24.307 119854795 19880385 275380 146 1.0
00:08:24.707 119855199 19483575 279098 71 1.0
00:08:24.907 119855581 19875754 275624 139 1.0
00:08:25.107 119854867 19783171 276309 147 1.0
00:08:25.307 119854857 19880452 275382 138 1.0
00:08:25.707 119855315 19483728 279100 69 1.0
00:08:25.907 119855683 19867532 275507 135 1.0
00:08:26.107 119854826 19783255 276310 146 1.0
00:08:26.307 119855689 19888454 275501 139 1.0
00:08:26.707 119855386 19483662 279100 76 1.0
00:08:26.907 119855540 19875645 275624 139 1.0
00:08:27.107 119854850 19783335 276311 144 1.0
00:08:27.307 119855586 19880440 275385 134 1.0
00:08:27.707 119856103 19492150 279224 74 1.0
00:08:27.907 119854808 19867345 275504 145 1.0
00:08:28.107 119854858 19783214 276309 144 1.0
00:08:28.307 119855537 19888541 275500 145 1.0
00:08:28.707 119856053 19483825 279105 73 1.0
00:08:28.907 119854893 19867273 275504 140 1.0
00:08:29.107 119854787 19791478 276427 143 1.0
00:08:29.307 119855525 19879649 275385 146 1.0
00:08:29.707 119856017 19491928 279220 76 1.0
00:08:29.907 119854877 19867463 275505 146 1.0
00:08:30.107 119855619 19783375 276315 143 1.0
00:08:30.307 119854898 19880301 275381 142 1.0
00:08:30.707 119856063 19483851 279106 69 1.0
