CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
00:01:19.486 119846685 31735781 573377 6836 1.0
00:01:19.886 119847878 30170656 582606 6855 1.0
00:01:20.086 119846823 30363814 576857 6855 1.0
00:01:20.286 119847374 30367512 576907 6853 1.0
00:01:20.486 119846669 31793967 573256 6808 1.0
00:01:20.886 119847076 30169764 582648 6843 1.0
00:01:21.086 119847378 30368009 576945 6857 1.0
00:01:21.286 119846799 30364749 576858 6849 1.0
00:01:21.486 119847562 31789924 573360 6800 1.0
00:01:21.886 119847120 30171657 582724 6859 1.0
00:01:22.086 119847535 30364619 576857 6848 1.0
00:01:22.286 119846725 30362427 576801 6839 1.0
00:01:22.486 119847430 31739008 573642 6816 1.0
00:01:22.886 119847817 30171724 582632 6833 1.0
00:01:23.086 119846696 30369762 576991 6835 1.0
00:01:23.286 119847405 30364590 576854 6845 1.0
00:01:23.486 119846814 31820220 573230 6813 1.0
00:01:23.886 119847857 30178801 582785 6858 1.0
00:01:24.086 119846726 30361662 576858 6838 1.0
00:01:24.286 119847433 30361834 576781 6847 1.0
00:01:24.486 119846730 31769059 573462 6820 1.0
00:01:24.886 119847008 30170379 582691 6845 1.0
00:01:25.086 119847407 30363376 576820 6851 1.0
00:01:25.286 119846682 30369055 576971 6849 1.0
00:01:25.486 119846631 31811552 573270 6813 1.0
00:01:25.886 119847223 30175571 582733 6855 1.0
00:01:26.086 119847302 30362742 576807 6846 1.0
00:01:26.286 119846696 30362750 576872 6853 1.0
00:01:26.486 119847479 31759613 573356 6814 1.0
00:01:26.886 119847791 30172599 582671 6854 1.0
00:01:27.086 119846774 30363396 576819 6845 1.0
00:01:27.286 119847419 30372526 577049 6838 1.0
00:01:27.486 119846825 31788369 573270 6804 1.0
00:01:27.886 119848034 30173184 582673 6854 1.0
00:01:28.086 119846576 30366103 576893 6841 1.0
00:01:28.286 119847425 30366018 576892 6844 1.0
00:01:28.486 119846738 31769919 573388 6795 1.0
00:01:28.886 119847162 30171353 582714 6851 1.0
00:01:29.086 119847548 30364597 576852 6840 1.0
00:01:29.286 119846631 30362570 576801 6855 1.0
00:01:29.486 119846661 31825788 573334 6813 1.0
00:01:29.886 119847250 30172802 582662 6858 1.0
00:01:30.086 119847392 30369930 576996 6843 1.0
00:01:30.286 119846670 30365715 576883 6855 1.0
00:01:30.486 119847477 31734206 573437 6825 1.0
00:01:30.886 119847995 30179377 582802 6857 1.0
00:01:31.086 119846630 30364467 576852 6838 1.0
00:01:31.286 119846744 30364253 576843 6838 1.0
00:01:31.486 119847455 31745760 573595 6789 1.0
00:01:31.886 119847878 30266047 579702 6838 1.0
00:01:32.086 119846741 30364362 576880 6831 1.0
00:01:32.286 119847408 30371943 576987 6850 1.0
00:01:32.686 119847752 30169526 582616 6848 1.0
00:01:32.886 119846770 30367211 576887 6862 1.0
00:01:33.086 119847456 30365356 576876 6842 1.0
00:01:33.286 119846662 30365166 576872 6844 1.0
00:01:33.686 119848039 30176175 582751 6847 1.0
00:01:33.886 119846659 30363964 576853 6841 1.0
00:01:34.086 119847496 30362606 576875 6853 1.0
00:01:34.286 119846790 30363785 576842 6835 1.0
00:01:34.686 119847132 30171635 582676 6855 1.0
00:01:34.886 119847463 30363574 576831 6867 1.0
00:01:35.086 119846760 30376305 577071 6848 1.0
00:01:35.286 119846688 30363779 576848 6840 1.0
00:01:35.686 119846959 30171302 582621 6845 1.0
00:01:35.886 119847413 30376162 577125 6853 1.0
00:01:36.086 119846687 30365416 576879 6851 1.0
00:01:36.286 119847496 30361632 576810 6834 1.0
00:01:36.686 119847811 30170298 582690 6849 1.0
00:01:36.886 119846856 30363455 576829 6842 1.0
00:01:37.086 119846732 30362673 576802 6852 1.0
00:01:37.286 119847478 30367383 576926 6850 1.0
00:01:37.686 119847878 30173099 582741 6843 1.0
00:01:37.886 119846668 30364863 576863 6857 1.0
00:01:38.086 119847599 30362776 576807 6845 1.0
00:01:38.286 119846716 30364001 576837 6857 1.0
00:01:38.686 119847069 30175594 582734 6862 1.0
00:01:38.886 119847265 30363636 576833 6858 1.0
00:01:39.086 119846680 30362453 576796 6856 1.0
00:01:39.286 119846730 30371291 577030 6840 1.0
00:01:39.686 119847035 30172416 582699 6830 1.0
00:01:39.886 119847493 30364427 576876 6866 1.0
00:01:40.086 119846668 30369681 576919 6853 1.0
00:01:40.286 119847403 30362723 576837 6844 1.0
00:01:40.686 119847910 30176560 582785 6857 1.0
00:01:40.886 119846764 30365894 576882 6848 1.0
00:01:41.086 119846787 30362945 576870 6842 1.0
00:01:41.286 119847472 30362605 576802 6853 1.0
00:01:41.686 119847951 30171340 582622 6858 1.0
00:01:41.886 119846718 30362169 576817 6852 1.0
00:01:42.086 119847551 30368139 576925 6832 1.0
00:01:42.286 119846753 30362534 576826 6847 1.0
00:01:42.686 119847107 30171412 582650 6856 1.0
00:01:42.886 119846735 30372104 577025 6863 1.0
00:01:43.086 119847515 30364002 576839 6849 1.0
00:01:43.286 119846716 30364430 576846 6839 1.0
00:01:43.686 119847046 30173469 582774 6851 1.0
00:01:43.886 119847346 30363140 576816 6856 1.0
00:01:44.086 119846721 30362539 576800 6867 1.0
00:01:44.286 119847514 30369982 576994 6840 1.0
00:01:44.686 119847152 30171660 582632 6856 1.0
00:01:44.886 119847528 30367039 576922 6856 1.0
00:01:45.086 119846588 30363040 576813 6849 1.0
00:01:45.286 119847599 30368277 576949 6848 1.0
00:01:45.686 119847920 30175628 582736 6839 1.0
00:01:45.886 119846760 30363352 576821 6854 1.0
00:01:46.086 119847588 30363333 576832 6822 1.0
00:01:46.286 119846781 30364989 576878 6825 1.0
00:01:46.686 119847060 30171450 582719 6858 1.0
00:01:46.886 119846731 30362324 576797 6858 1.0
00:01:47.086 119847511 30370054 576979 6845 1.0
00:01:47.286 119846549 30362685 576822 6854 1.0
00:01:47.686 119847160 30177128 582790 6840 1.0
00:01:47.886 119847518 30361859 576794 6840 1.0
00:01:48.086 119846708 30364993 576863 6853 1.0
00:01:48.286 119847394 30365244 576870 6851 1.0
00:01:48.686 119847075 30170514 582603 6859 1.0
00:01:48.886 119847485 30364763 576873 6848 1.0
00:01:49.086 119846715 30364850 576878 6829 1.0
00:01:49.286 119847453 30365372 576873 6843 1.0
00:01:49.686 119847854 30172287 582712 6846 1.0
00:01:49.886 119846741 30369105 576910 6850 1.0
00:01:50.086 119847593 30363944 576841 6833 1.0
00:01:50.286 119846790 30364458 576878 6851 1.0
00:01:50.686 119847883 30170552 582673 6859 1.0
00:01:50.886 119846760 30365077 576878 6857 1.0
00:01:51.086 119847462 30365842 576873 6851 1.0
00:01:51.286 119846653 30372616 576996 6846 1.0
00:01:51.686 119847071 30171726 582633 6851 1.0
00:01:51.886 119847480 30361357 576825 6850 1.0
00:01:52.086 119846775 30370801 576962 6862 1.0
00:01:52.286 119847412 30361866 576789 6849 1.0
00:01:52.686 119847094 30176297 582753 6856 1.0
00:01:52.886 119847671 30366136 576895 6845 1.0
00:01:53.086 119846719 30363135 576816 6832 1.0
00:01:53.286 119847472 30362284 576845 6848 1.0
00:01:53.686 119847960 30237765 580651 6847 1.0
00:01:53.886 119846740 30361843 576783 6850 1.0
00:01:54.086 119847450 30367008 576915 6844 1.0
00:01:54.286 119846638 30363559 576825 6848 1.0
00:01:54.686 119848083 30355370 576972 6835 1.0
00:01:54.886 119846730 30367661 576934 6849 1.0
00:01:55.086 119847516 30365058 576869 6846 1.0
00:01:55.486 119847917 30179366 582834 6854 1.0
00:01:55.686 119846782 31756241 573425 6799 1.0
00:01:55.886 119847515 30362638 576825 6840 1.0
00:01:56.086 119846694 30364778 576878 6830 1.0
00:01:56.486 119847886 30170668 582667 6865 1.0
00:01:56.686 119846834 31724897 573504 6792 1.0
00:01:56.886 119847496 30371080 576933 6857 1.0
00:01:57.086 119846836 30362166 576840 6842 1.0
00:01:57.486 119847034 30170511 582625 6841 1.0
00:01:57.686 119847408 31801862 573338 6803 1.0
00:01:57.886 119846741 30364008 576840 6850 1.0
00:01:58.086 119847472 30365675 576882 6846 1.0
00:01:58.486 119847100 30169165 582660 6857 1.0
00:01:58.686 119847574 31776399 573269 6806 1.0
00:01:58.886 119846729 30360809 576797 6856 1.0
00:01:59.086 119847324 30369990 576955 6850 1.0
00:01:59.486 119847855 30173208 582672 6849 1.0
00:01:59.686 119846769 31774310 573580 6819 1.0
00:01:59.886 119847413 30364893 576862 6858 1.0
00:02:00.086 119846723 30364407 576851 6846 1.0
00:02:00.486 119847851 30180924 582875 6848 1.0
00:02:00.686 119846916 31810046 573278 6803 1.0
00:02:00.886 119847392 30365898 576887 6845 1.0
00:02:01.086 119846761 30365055 576865 6839 1.0
00:02:01.486 119847008 30168840 582650 6854 1.0
00:02:01.686 119847567 31752017 573337 6809 1.0
00:02:01.886 119846722 30369654 576986 6843 1.0
00:02:02.086 119846594 30365984 576888 6853 1.0
00:02:02.486 119847056 30176119 582747 6850 1.0
00:02:02.686 119847543 31759253 573466 6795 1.0
00:02:02.886 119846751 30362805 576842 6829 1.0
00:02:03.086 119847541 30360086 576732 6837 1.0
00:02:03.486 119847879 30171367 582624 6846 1.0
00:02:03.686 119846757 31762526 573459 6794 1.0
00:02:03.886 119846633 30373414 576993 6860 1.0
00:02:04.086 119847549 30361469 576801 6849 1.0
00:02:04.486 119847929 30171294 582684 6830 1.0
00:02:04.686 119846685 31733756 573600 6801 1.0
00:02:04.886 119847421 30364342 576845 6853 1.0
00:02:05.086 119846686 30364237 576845 6835 1.0
00:02:05.486 119847022 30097855 581251 6823 1.0
00:02:05.686 119847640 31668692 572095 6772 1.0
00:02:05.886 119846739 30292600 575467 6835 1.0
00:02:06.086 119846677 30296299 575575 6821 1.0
00:02:06.486 119846964 30098305 581262 6824 1.0
00:02:06.686 119847612 31746779 572101 6794 1.0
00:02:06.886 119846672 30290771 575413 6822 1.0
00:02:07.086 119847436 30294542 575500 6840 1.0
00:02:07.486 119847951 30099240 581240 6819 1.0
00:02:07.686 119846751 31738067 571942 6785 1.0
00:02:07.886 119846625 30295901 575513 6836 1.0
00:02:08.086 119847545 30301204 575652 6828 1.0
00:02:08.486 119847885 30101272 581341 6820 1.0
00:02:08.686 119846867 31689165 572000 6774 1.0
00:02:08.886 119847475 30302742 575683 6839 1.0
00:02:09.086 119846664 30297361 575562 6822 1.0
00:02:09.486 119847086 30105470 581356 6849 1.0
00:02:09.686 119846741 31738583 571945 6783 1.0
00:02:09.886 119847320 30291844 575502 6827 1.0
00:02:10.086 119846723 30294162 575467 6821 1.0
00:02:10.486 119847104 30102151 581317 6846 1.0
00:02:10.686 119847521 31692228 571983 6796 1.0
00:02:10.886 119846577 30286332 575359 6838 1.0
00:02:11.086 119847563 30293705 575544 6819 1.0
00:02:11.486 119847832 30100677 581325 6824 1.0
00:02:11.686 119846682 31664265 572108 6796 1.0
00:02:11.886 119846621 30297826 575579 6841 1.0
00:02:12.086 119847510 30295802 575583 6824 1.0
00:02:12.486 119847881 30109313 581459 6835 1.0
00:02:12.686 119846721 31683404 572089 6791 1.0
00:02:12.886 119847546 30286106 575350 6829 1.0
00:02:13.086 119846755 30303372 575632 6831 1.0
00:02:13.486 119847082 30096367 581212 6837 1.0
00:02:13.686 119846765 31757598 571895 6788 1.0
00:02:13.886 119847480 30302631 575693 6836 1.0
00:02:14.086 119846721 30294913 575488 6816 1.0
00:02:14.486 119847012 30108778 581465 6840 1.0
00:02:14.686 119847458 31678276 572008 6794 1.0
00:02:14.886 119846700 30293881 575553 6816 1.0
00:02:15.086 119847522 30297216 575578 6823 1.0
00:02:15.486 119847147 30102163 581253 6831 1.0
00:02:15.686 119847500 31733072 571973 6786 1.0
00:02:15.886 119846658 30305488 575707 6840 1.0
00:02:16.086 119847553 30295692 575509 6823 1.0
00:02:16.486 119847935 30197183 578408 6817 1.0
00:02:16.686 119846533 31698167 572186 6793 1.0
00:02:16.886 119847479 30292793 575431 6846 1.0
00:02:17.286 119847913 30108439 581473 6839 1.0
00:02:17.486 119846723 30289572 575352 6831 1.0
00:02:17.686 119846732 31682403 572123 6793 1.0
00:02:17.886 119847450 30293986 575465 6837 1.0
00:02:18.286 119847736 30101093 581299 6828 1.0
00:02:18.486 119846701 30296217 575562 6831 1.0
00:02:18.686 119847479 31670385 572184 6805 1.0
00:02:18.886 119846798 30293097 575441 6826 1.0
00:02:19.286 119847124 30101770 581335 6835 1.0
00:02:19.486 119846720 30298885 575593 6825 1.0
00:02:19.686 119847438 31665237 572133 6815 1.0
00:02:19.886 119846666 30291475 575479 6835 1.0
00:02:20.286 119846955 30102334 581353 6829 1.0
00:02:20.486 119847442 30292112 575430 6828 1.0
00:02:20.686 119846676 31656508 572131 6782 1.0
00:02:20.886 119847391 30301718 575583 6827 1.0
00:02:21.286 119847067 30102285 581295 6837 1.0
00:02:21.486 119847588 30304055 575708 6818 1.0
00:02:21.686 119846679 31711644 571859 6804 1.0
00:02:21.886 119847468 30298492 575583 6828 1.0
00:02:22.286 119847867 30106693 581390 6832 1.0
00:02:22.486 119846745 30297627 575559 6833 1.0
00:02:22.686 119847594 31750405 571875 6790 1.0
00:02:22.886 119846786 30302346 575615 6832 1.0
00:02:23.286 119847141 30104032 581319 6836 1.0
00:02:23.486 119846855 30290716 575473 6819 1.0
00:02:23.686 119847514 31694335 572202 6793 1.0
00:02:23.886 119846675 30293553 575453 6835 1.0
00:02:24.286 119847105 30110361 581500 6837 1.0
00:02:24.486 119847488 30299068 575584 6826 1.0
00:02:24.686 119846627 31755013 571978 6788 1.0
00:02:24.886 119847429 30292926 575485 6830 1.0
00:02:25.286 119847146 30101238 581277 6826 1.0
00:02:25.486 119847550 30294035 575548 6831 1.0
00:02:25.686 119846643 31685124 572282 6803 1.0
00:02:25.886 119847355 30292258 575515 6816 1.0
00:02:26.286 119847904 30095016 581207 6817 1.0
00:02:26.486 119846601 30297043 575588 6818 1.0
00:02:26.686 119847566 31690706 572123 6800 1.0
00:02:26.886 119846658 30295904 575516 6818 1.0
00:02:27.286 119847840 30107223 581479 6831 1.0
00:02:27.486 119846656 30292469 575443 6826 1.0
00:02:27.686 119847488 31688444 572118 6805 1.0
00:02:27.886 119846714 30294569 575493 6821 1.0
00:02:28.286 119847070 30094234 581156 6826 1.0
00:02:28.486 119847323 30285799 575342 6832 1.0
00:02:28.686 119846771 31757021 572094 6797 1.0
00:02:28.886 119846710 30296253 575523 6830 1.0
00:02:29.286 119847184 30104797 581395 6818 1.0
00:02:29.486 119847513 30287177 575325 6823 1.0
00:02:29.686 119846738 31687702 572108 6799 1.0
