CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
00:01:40.539 119847945 30114780 581509 6837 1.0
00:01:40.739 119846708 30308158 575840 6828 1.0
00:01:40.939 119847443 30302072 575598 6827 1.0
00:01:41.139 119846755 30310578 575834 6827 1.0
00:01:41.539 119846990 30112492 581541 6829 1.0
00:01:41.739 119847472 30303329 575715 6833 1.0
00:01:41.939 119846630 30303036 575674 6838 1.0
00:01:42.139 119846606 30310780 575845 6832 1.0
00:01:42.539 119847107 30115536 581623 6818 1.0
00:01:42.739 119847595 30305408 575677 6834 1.0
00:01:42.939 119846691 30311118 575820 6827 1.0
00:01:43.139 119847440 30307533 575789 6828 1.0
00:01:43.539 119847835 30124683 581771 6843 1.0
00:01:43.739 119846715 30302017 575676 6824 1.0
00:01:43.939 119846603 30302137 575679 6838 1.0
00:01:44.139 119847411 30304521 575649 6828 1.0
00:01:44.539 119847869 30109916 581495 6834 1.0
00:01:44.739 119846632 30305263 575705 6834 1.0
00:01:44.939 119847502 30309126 575769 6817 1.0
00:01:45.139 119846681 30299556 575613 6841 1.0
00:01:45.539 119847057 30115122 581612 6843 1.0
00:01:45.739 119847653 30307953 575785 6827 1.0
00:01:45.939 119846661 30302147 575654 6822 1.0
00:01:46.139 119846686 30303833 575657 6831 1.0
00:01:46.539 119847097 30110594 581492 6843 1.0
00:01:46.739 119847560 30306979 575810 6818 1.0
00:01:46.939 119846769 30305253 575670 6819 1.0
00:01:47.139 119847440 30314196 575903 6827 1.0
00:01:47.539 119847836 30112913 581553 6824 1.0
00:01:47.739 119846566 30315989 575953 6823 1.0
00:01:47.939 119846690 30302645 575668 6821 1.0
00:01:48.139 119847355 30309139 575795 6820 1.0
00:01:48.539 119847955 30123949 581750 6832 1.0
00:01:48.739 119846742 30302717 575602 6831 1.0
00:01:48.939 119847333 30304682 575750 6841 1.0
00:01:49.139 119846760 30312597 575859 6826 1.0
00:01:49.539 119847150 30109512 581465 6826 1.0
00:01:49.739 119846501 30302973 575661 6845 1.0
00:01:49.939 119847531 30314214 575847 6828 1.0
00:01:50.139 119846690 30309145 575840 6829 1.0
00:01:50.539 119847144 30117814 581665 6827 1.0
00:01:50.739 119847392 30300478 575583 6836 1.0
00:01:50.939 119846639 30300850 575623 6819 1.0
00:01:51.139 119847451 30304728 575745 6836 1.0
00:01:51.539 119847951 30113678 581536 6829 1.0
00:01:51.739 119846601 30310640 575806 6832 1.0
00:01:51.939 119846710 30315168 575929 6837 1.0
00:01:52.139 119847539 30302542 575689 6832 1.0
00:01:52.539 119847951 30110993 581504 6831 1.0
00:01:52.739 119846686 30313962 575876 6847 1.0
00:01:52.939 119847493 30304933 575678 6808 1.0
00:01:53.139 119846785 30306873 575752 6834 1.0
00:01:53.539 119847131 30114063 581546 6835 1.0
00:01:53.739 119846748 30302347 575628 6841 1.0
00:01:53.939 119847527 30304015 575728 6828 1.0
00:01:54.139 119846734 30309785 575785 6811 1.0
00:01:54.539 119847091 30116976 581659 6844 1.0
00:01:54.739 119847479 30309163 575771 6820 1.0
00:01:54.939 119846665 30305369 575682 6825 1.0
00:01:55.139 119847239 30301899 575661 6832 1.0
00:01:55.539 119847164 30120528 581753 6819 1.0
00:01:55.739 119847524 30302530 575597 6829 1.0
00:01:55.939 119846681 30304826 575749 6833 1.0
00:01:56.139 119847435 30314555 575912 6821 1.0
00:01:56.539 119848008 30111327 581512 6845 1.0
00:01:56.739 119846685 30308834 575761 6839 1.0
00:01:56.939 119847434 30314914 575920 6838 1.0
00:01:57.139 119846636 30309208 575770 6847 1.0
00:01:57.539 119847107 30115876 581604 6844 1.0
00:01:57.739 119846711 30306361 575724 6827 1.0
00:01:57.939 119847468 30307320 575721 6829 1.0
00:01:58.139 119846803 30299661 575613 6841 1.0
00:01:58.539 119847109 30110043 581477 6833 1.0
00:01:58.739 119847529 30304342 575737 6827 1.0
00:01:58.939 119846690 30313829 575885 6832 1.0
00:01:59.139 119847517 30306860 575716 6825 1.0
00:01:59.539 119846928 30110770 581500 6832 1.0
00:01:59.739 119847473 30319522 576013 6831 1.0
00:01:59.939 119846723 30302635 575674 6810 1.0
00:02:00.139 119847458 30309283 575791 6827 1.0
00:02:00.539 119847882 30183706 579428 6821 1.0
00:02:00.739 119846711 30311304 575826 6837 1.0
00:02:00.939 119847610 30301882 575670 6818 1.0
00:02:01.139 119846740 30312404 575852 6814 1.0
00:02:01.539 119847991 30302093 575827 6812 1.0
00:02:01.739 119846681 30304435 575686 6820 1.0
00:02:01.939 119847570 30315220 575928 6832 1.0
00:02:02.339 119847790 30111419 581514 6834 1.0
00:02:02.539 119846639 31722100 572389 6802 1.0
00:02:02.739 119847564 30306005 575740 6831 1.0
00:02:02.939 119846633 30306388 575695 6843 1.0
00:02:03.339 119847163 30120385 581656 6835 1.0
00:02:03.539 119846777 31725824 572193 6795 1.0
00:02:03.739 119847359 30306089 575782 6827 1.0
00:02:03.939 119846733 30311518 575829 6822 1.0
00:02:04.339 119847037 30115143 581599 6821 1.0
00:02:04.539 119847533 31713299 572209 6793 1.0
00:02:04.739 119846702 30306736 575723 6825 1.0
00:02:04.939 119847508 30308051 575738 6827 1.0
00:02:05.339 119847118 30120379 581656 6818 1.0
00:02:05.539 119847532 31694808 572264 6796 1.0
00:02:05.739 119846634 30309206 575771 6829 1.0
00:02:05.939 119847340 30300463 575632 6824 1.0
00:02:06.339 119847894 30112985 581555 6826 1.0
00:02:06.539 119846728 31729195 572241 6786 1.0
00:02:06.739 119847536 30310247 575797 6829 1.0
00:02:06.939 119846704 30303480 575710 6827 1.0
00:02:07.339 119847877 30111444 581515 6829 1.0
00:02:07.539 119846838 31759887 572342 6766 1.0
00:02:07.739 119847439 30306549 575701 6833 1.0
00:02:07.939 119846676 30304069 575727 6825 1.0
00:02:08.339 119847016 30108548 581473 6833 1.0
00:02:08.539 119847518 31711828 572211 6807 1.0
00:02:08.739 119846772 30300797 575635 6828 1.0
00:02:08.939 119846893 30316843 575884 6810 1.0
00:02:09.339 119847068 30115235 581521 6834 1.0
00:02:09.539 119847524 31677394 572597 6799 1.0
00:02:09.739 119846697 30307232 575728 6834 1.0
00:02:09.939 119847482 30305551 575758 6821 1.0
00:02:10.339 119847953 30121495 581686 6822 1.0
00:02:10.539 119846752 31681394 572247 6768 1.0
00:02:10.739 119847500 30309542 575802 6827 1.0
00:02:10.939 119846608 30310325 575848 6824 1.0
00:02:11.339 119847984 30115732 581614 6831 1.0
00:02:11.539 119846684 31682766 572236 6780 1.0
00:02:11.739 119847462 30310255 575841 6830 1.0
00:02:11.939 119846618 30310012 575843 6835 1.0
00:02:12.339 119847171 30124460 581758 6830 1.0
00:02:12.539 119847493 31742409 572231 6796 1.0
00:02:12.739 119846612 30309944 575846 6831 1.0
00:02:12.939 119846751 30307014 575715 6821 1.0
00:02:13.339 119847137 30114904 581567 6831 1.0
00:02:13.539 119847531 31674550 572346 6789 1.0
00:02:13.739 119846703 30312153 575849 6824 1.0
00:02:13.939 119847425 30312282 575850 6830 1.0
00:02:14.339 119847802 30117568 581648 6835 1.0
00:02:14.539 119846608 31745915 572341 6789 1.0
00:02:14.739 119846794 30302616 575614 6829 1.0
00:02:14.939 119847440 30299132 575599 6826 1.0
00:02:15.339 119847872 30111915 581495 6842 1.0
00:02:15.539 119846699 31712192 572236 6790 1.0
00:02:15.739 119847513 30303519 575717 6815 1.0
00:02:15.939 119846719 30312602 575862 6839 1.0
00:02:16.339 119847074 30114054 581513 6826 1.0
