CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
00:02:26.063 119851984 37298589 227746 67328 1.0
00:02:26.263 119851494 37707255 225831 62012 1.0
00:02:26.463 119850722 37826043 225816 59444 1.0
00:02:26.663 119852052 37567741 224760 68482 1.0
00:02:27.063 119850852 37457246 228124 69967 1.0
00:02:27.263 119851446 37854228 226067 57085 1.0
00:02:27.463 119851301 37770474 225765 62321 1.0
00:02:27.663 119851720 37580428 225652 66972 1.0
00:02:28.063 119852170 37372998 227074 75004 1.0
00:02:28.263 119850825 37786893 225674 64871 1.0
00:02:28.463 119850667 37693295 225794 65102 1.0
00:02:28.663 119852236 37768198 225994 60115 1.0
00:02:29.063 119851998 37699438 228137 58698 1.0
00:02:29.263 119851350 37638296 224635 68155 1.0
00:02:29.463 119850830 37534346 225472 68835 1.0
00:02:29.663 119851373 37607036 225703 67877 1.0
00:02:30.063 119851892 37731505 228323 59935 1.0
00:02:30.263 119850864 37651100 225836 66393 1.0
00:02:30.463 119851547 37406086 225115 63443 1.0
00:02:30.663 119850850 37345579 224546 74146 1.0
00:02:31.063 119852574 37294504 228037 66028 1.0
00:02:31.263 119850898 37616174 225743 66077 1.0
00:02:31.463 119851962 37752448 225952 60851 1.0
00:02:31.663 119850803 37719178 225490 61804 1.0
00:02:32.063 119851250 37448838 228120 69040 1.0
00:02:32.263 119850507 37728098 226053 61102 1.0
00:02:32.463 119850974 37803032 225968 58974 1.0
00:02:32.663 119850642 37833296 225914 58754 1.0
00:02:33.063 119850784 37484583 227429 67309 1.0
00:02:33.263 119851243 37678587 225249 65701 1.0
00:02:33.463 119851380 37652736 225849 60382 1.0
00:02:33.663 119850903 37443640 225403 69252 1.0
00:02:34.063 119851568 37591254 228140 63510 1.0
00:02:34.263 119851651 37727705 225542 62158 1.0
00:02:34.463 119850742 37714283 224779 66271 1.0
00:02:34.663 119851153 37538859 225613 70975 1.0
00:02:35.063 119851622 37595108 228348 61610 1.0
00:02:35.263 119851580 37765114 225976 59867 1.0
00:02:35.463 119850637 37770478 225886 63162 1.0
00:02:35.663 119850670 37465767 225026 67476 1.0
00:02:36.063 119852007 37610399 228136 64290 1.0
00:02:36.263 119851610 37844248 225942 60972 1.0
00:02:36.463 119850896 37787615 226132 59608 1.0
00:02:36.663 119852163 37591991 225370 65529 1.0
00:02:37.063 119851442 37459630 227314 67916 1.0
00:02:37.263 119851113 37665171 225721 66844 1.0
00:02:37.463 119850870 37750004 226019 59514 1.0
00:02:37.663 119851125 37700540 225913 62431 1.0
00:02:38.063 119852226 37673190 228264 61401 1.0
00:02:38.263 119851133 37602721 224770 68461 1.0
00:02:38.463 119850722 37689247 225503 65289 1.0
00:02:38.663 119851831 37688091 225702 65497 1.0
00:02:39.063 119852127 37720026 228440 58718 1.0
00:02:39.263 119851232 37702786 225789 62467 1.0
00:02:39.463 119850627 37570556 225086 65676 1.0
00:02:39.663 119851554 37558632 224784 64949 1.0
00:02:40.063 119851920 37647637 228444 57955 1.0
00:02:40.263 119850692 37697298 225890 61952 1.0
00:02:40.463 119851772 37735393 225836 62661 1.0
00:02:40.663 119850000 37794544 226001 58955 1.0
00:02:41.063 119851636 37624955 226802 64467 1.0
00:02:41.263 119850243 37742134 225732 62906 1.0
00:02:41.463 119852227 37741128 225814 62362 1.0
00:02:41.863 119852595 37623228 228118 62960 1.0
00:02:42.063 119850968 37669173 225055 64272 1.0
00:02:42.263 119851131 37336259 224492 66475 1.0
00:02:42.463 119851825 37198024 225120 69540 1.0
00:02:42.863 119852365 37650637 228134 63840 1.0
00:02:43.063 119851183 37681257 225875 63974 1.0
00:02:43.263 119851016 37591932 225532 62087 1.0
00:02:43.463 119852182 37457950 224618 72653 1.0
00:02:43.863 119852301 37227210 227752 70568 1.0
00:02:44.063 119851195 37629283 225836 66535 1.0
00:02:44.263 119851203 37842455 226238 54731 1.0
00:02:44.463 119851223 37796576 225772 60458 1.0
00:02:44.863 119852229 37452261 227716 68096 1.0
00:02:45.063 119851163 37618936 225685 68351 1.0
00:02:45.263 119851680 37850780 226204 57272 1.0
00:02:45.463 119850692 37781662 225880 61386 1.0
00:02:45.863 119852153 37521946 227957 62965 1.0
00:02:46.063 119851245 37574420 224859 69519 1.0
00:02:46.263 119852107 37834393 225781 62620 1.0
00:02:46.463 119850876 37743615 225911 62300 1.0
00:02:46.863 119851498 37625741 228396 60912 1.0
00:02:47.063 119850745 37828064 225790 59204 1.0
00:02:47.263 119851780 37647765 224788 65510 1.0
00:02:47.463 119851109 37603035 225467 66541 1.0
00:02:47.863 119850931 37678561 228394 59879 1.0
00:02:48.063 119851410 37867225 225915 59272 1.0
00:02:48.263 119851015 37716087 225908 63827 1.0
00:02:48.463 119851244 37646961 225291 65321 1.0
00:02:48.863 119851310 37716482 228269 59478 1.0
00:02:49.063 119851787 37768313 225792 63614 1.0
00:02:49.263 119850714 37715990 225918 61822 1.0
00:02:49.463 119850965 37611011 225697 63280 1.0
00:02:49.863 119851163 37206814 226568 74684 1.0
00:02:50.063 119851223 37607364 225472 68531 1.0
00:02:50.263 119850761 37670532 225852 64507 1.0
00:02:50.463 119851628 37807093 225997 60280 1.0
00:02:50.863 119850856 37596894 228245 64815 1.0
00:02:51.063 119851776 37449644 225202 65124 1.0
00:02:51.263 119850454 37430374 224808 72380 1.0
00:02:51.463 119851536 37659857 225506 61874 1.0
00:02:51.863 119851192 37616245 228360 62259 1.0
00:02:52.063 119851667 37704244 225877 62020 1.0
00:02:52.263 119851435 37787760 225473 60182 1.0
00:02:52.463 119851914 37777942 225025 61361 1.0
00:02:52.863 119852128 37229797 227369 68632 1.0
00:02:53.063 119850694 37691470 225886 62380 1.0
00:02:53.263 119851386 37828951 225643 62766 1.0
00:02:53.463 119851880 37746067 225672 66091 1.0
00:02:53.863 119852510 37570929 227715 66313 1.0
00:02:54.063 119850879 37749153 225871 61796 1.0
00:02:54.263 119851540 37780522 225652 65232 1.0
00:02:54.463 119851135 37736179 226081 58476 1.0
00:02:54.863 119852051 37560306 227680 64555 1.0
00:02:55.063 119850931 37399241 224084 73007 1.0
00:02:55.263 119851477 37259445 225360 69712 1.0
00:02:55.463 119850838 37692876 225920 62743 1.0
00:02:55.863 119852357 37706710 228474 56428 1.0
00:02:56.063 119850899 37918567 226080 57249 1.0
00:02:56.263 119852010 37342821 224346 76428 1.0
00:02:56.463 119851143 37264982 225016 74259 1.0
00:02:56.863 119850861 37681039 228299 60794 1.0
00:02:57.063 119850968 37876255 226048 56267 1.0
00:02:57.263 119852026 37762796 225910 59422 1.0
00:02:57.463 119851042 37660589 225135 65186 1.0
00:02:57.863 119851355 37685251 228196 63097 1.0
00:02:58.063 119850766 37769407 226127 58637 1.0
00:02:58.263 119851825 37742303 225896 60911 1.0
00:02:58.464 119850995 37747952 225866 62552 1.0
00:02:58.864 119851639 37483525 227218 67899 1.0
00:02:59.064 119851077 37616356 225526 68707 1.0
00:02:59.264 119850619 37683683 225680 64454 1.0
00:02:59.464 119850972 37748559 225962 61713 1.0
00:02:59.864 119851835 37598169 228080 61757 1.0
00:03:00.064 119851560 37670973 225119 65274 1.0
00:03:00.264 119850464 37681512 225434 64768 1.0
00:03:00.464 119851403 37646800 225843 65270 1.0
00:03:00.864 119851092 37576404 228077 64351 1.0
00:03:01.064 119852125 37729537 225887 63510 1.0
00:03:01.264 119850761 37691252 225811 61687 1.0
00:03:01.464 119851532 37681476 224768 67566 1.0
00:03:01.864 119851040 37539836 228009 66930 1.0
00:03:02.064 119852273 37783523 225837 62292 1.0
00:03:02.264 119851005 37831699 226098 56325 1.0
00:03:02.464 119851501 37740650 225737 61572 1.0
00:03:02.864 119851936 37433097 227647 66940 1.0
00:03:03.064 119851243 37706626 225877 63584 1.0
00:03:03.264 119851099 37957670 226316 52118 1.0
00:03:03.464 119852051 37739139 225776 63043 1.0
00:03:03.864 119852212 37585577 227978 63096 1.0
00:03:04.064 119850720 37674706 224897 64997 1.0
00:03:04.264 119850938 37760988 225773 62963 1.0
00:03:04.464 119851812 37709132 225648 67709 1.0
00:03:04.864 119852367 37699981 227264 58586 1.0
00:03:05.064 119850498 37736525 225550 64992 1.0
00:03:05.264 119851045 37721309 224854 65181 1.0
00:03:05.664 119851131 37574323 228199 65516 1.0
00:03:05.864 119851243 37831796 226145 55999 1.0
00:03:06.064 119849877 37830304 225696 61463 1.0
00:03:06.264 119851949 37617647 225818 66279 1.0
00:03:06.664 119852161 37483169 227323 68387 1.0
00:03:06.864 119851053 37828959 225735 61582 1.0
00:03:07.064 119850936 37691186 225678 67219 1.0
00:03:07.264 119852104 37698096 225920 63648 1.0
00:03:07.664 119851686 37221780 226736 72691 1.0
00:03:07.864 119850856 37608691 224652 69003 1.0
00:03:08.064 119850896 37641112 225741 66879 1.0
00:03:08.264 119851803 37711529 225840 62620 1.0
00:03:08.664 119850990 37755319 228254 61901 1.0
00:03:08.864 119850608 37666227 225860 65993 1.0
00:03:09.064 119852042 37589969 225191 67575 1.0
00:03:09.264 119850621 37638274 225107 67176 1.0
00:03:09.664 119851858 37657781 227986 65900 1.0
00:03:09.864 119850646 37720625 225879 62262 1.0
00:03:10.064 119851979 37693410 225814 63336 1.0
00:03:10.264 119850552 37658781 225320 66128 1.0
00:03:10.664 119851891 37368630 228190 70051 1.0
00:03:10.864 119850525 37622338 225856 66774 1.0
00:03:11.064 119851624 37744630 225949 60552 1.0
00:03:11.264 119851385 37732375 225628 58891 1.0
00:03:11.664 119851561 37340836 227419 67025 1.0
00:03:11.864 119850515 37603111 225188 68306 1.0
00:03:12.064 119850885 37746420 225814 62319 1.0
00:03:12.264 119851158 37792767 225775 64921 1.0
00:03:12.664 119850991 37536994 228137 62565 1.0
00:03:12.864 119851629 37679028 225558 62017 1.0
00:03:13.064 119850739 37692508 224880 64948 1.0
00:03:13.264 119850928 37690059 225840 65058 1.0
00:03:13.664 119851456 37623489 228276 62398 1.0
00:03:13.864 119851582 37785645 226076 57525 1.0
00:03:14.064 119850685 37695032 225710 61654 1.0
00:03:14.264 119850918 37188407 224389 72863 1.0
00:03:14.664 119851077 37620633 228029 63745 1.0
00:03:14.864 119851308 37752997 225740 63424 1.0
00:03:15.064 119851003 37748177 225975 61956 1.0
00:03:15.264 119851533 37669671 225879 61616 1.0
00:03:15.664 119851236 37569690 227562 62121 1.0
00:03:15.864 119851393 37296648 224224 71746 1.0
00:03:16.064 119851133 37292529 225294 69776 1.0
00:03:16.264 119852367 37431336 225223 68686 1.0
00:03:16.664 119851144 37707834 228427 58506 1.0
00:03:16.864 119852135 37620583 224691 68251 1.0
00:03:17.064 119851058 37699536 225565 65191 1.0
00:03:17.264 119851668 37765266 225697 65109 1.0
00:03:17.664 119851911 37772341 228288 60105 1.0
00:03:17.864 119850890 37749148 225726 62493 1.0
00:03:18.064 119851289 37366260 224478 66860 1.0
00:03:18.264 119851688 37191422 224262 75105 1.0
00:03:18.664 119852159 37682138 228352 59727 1.0
00:03:18.864 119851331 37367350 224951 67704 1.0
00:03:19.064 119851239 37547938 225265 67678 1.0
00:03:19.264 119851019 37791593 226004 57255 1.0
00:03:19.664 119852226 37616936 228047 64078 1.0
00:03:19.864 119851054 37746220 225700 63563 1.0
00:03:20.064 119851385 37778207 225988 61471 1.0
00:03:20.264 119850629 37822323 226222 55077 1.0
00:03:20.664 119851977 37471445 227179 69120 1.0
00:03:20.864 119850808 37600453 225372 67412 1.0
00:03:21.064 119851899 37672621 225958 63122 1.0
00:03:21.264 119850648 37877284 225989 56838 1.0
00:03:21.664 119851296 37587616 228223 63648 1.0
00:03:21.864 119850259 37700160 225732 58451 1.0
00:03:22.064 119851346 37529719 224695 70702 1.0
00:03:22.264 119851241 37406444 225551 68258 1.0
00:03:22.664 119851551 37588587 228282 62956 1.0
00:03:22.864 119850767 37768647 226057 58719 1.0
00:03:23.064 119851419 37790429 225713 59863 1.0
00:03:23.264 119850990 37573108 224679 69551 1.0
00:03:23.664 119852031 37565251 228287 64099 1.0
00:03:23.864 119851489 37850811 226164 54321 1.0
00:03:24.064 119851289 37763737 225732 62760 1.0
00:03:24.264 119851543 37663734 225872 66300 1.0
00:03:24.664 119851671 37478925 227306 69659 1.0
00:03:24.864 119851816 37850706 225763 62351 1.0
00:03:25.064 119850954 37687987 225634 67048 1.0
