CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
14:10:21:596 119814337 26624428 587789 9903 1.0
14:10:21:996 119812992 26163751 594427 9953 1.0
14:10:22:196 119814145 26637379 588426 9996 1.0
14:10:22:396 119814155 26409993 588991 9957 1.0
14:10:22:596 119813592 26691812 588190 9913 1.0
14:10:22:996 119813594 26156228 594203 9937 1.0
14:10:23:196 119813970 26597244 588019 9889 1.0
14:10:23:396 119813578 26369836 588131 9924 1.0
14:10:23:596 119813932 26654469 588512 9993 1.0
14:10:23:996 119814418 26140993 593879 9926 1.0
14:10:24:196 119813157 26704172 588467 9959 1.0
14:10:24:396 119814576 26383278 588292 9923 1.0
14:10:24:596 119813833 26720722 587913 9936 1.0
14:10:24:996 119813218 26158141 594255 9995 1.0
14:10:25:196 119813781 26633395 588127 9923 1.0
14:10:25:396 119812676 26413423 588999 9951 1.0
14:10:25:596 119813525 26695764 587514 9952 1.0
14:10:25:996 119813539 26162193 594347 9978 1.0
14:10:26:196 119814472 26579773 587685 9949 1.0
14:10:26:396 119812416 26397759 588684 9948 1.0
14:10:26:596 119814204 26649120 587723 9928 1.0
14:10:26:996 119813752 26171433 594576 9963 1.0
14:10:27:196 119813646 26718681 587757 9907 1.0
14:10:27:396 119813332 26389068 588462 9936 1.0
14:10:27:596 119813254 26594084 588092 9898 1.0
14:10:27:996 119812497 26144467 594003 9962 1.0
14:10:28:196 119814830 26689516 587984 9885 1.0
14:10:28:396 119812973 26424234 589206 9926 1.0
14:10:28:596 119815061 26606396 587794 9921 1.0
14:10:28:996 119814072 26168232 594497 10013 1.0
14:10:29:196 119812683 26613098 588128 9940 1.0
14:10:29:396 119813871 26403489 588807 9924 1.0
14:10:29:596 119812434 26612274 588266 9920 1.0
14:10:29:996 119813850 26193111 593720 9958 1.0
14:10:30:196 119814343 26676595 588038 9914 1.0
14:10:30:396 119812453 26442253 589620 9993 1.0
14:10:30:596 119813893 26664008 588295 9902 1.0
14:10:30:996 119814578 26365345 589060 9913 1.0
14:10:31:196 119814247 26724995 587956 9943 1.0
14:10:31:396 119814245 26402183 588758 9853 1.0
14:10:31:796 119814266 26169176 594490 9945 1.0
14:10:31:996 119813247 26398493 588737 9922 1.0
14:10:32:196 119814014 26603987 588457 9891 1.0
14:10:32:396 119813135 26422312 589240 9917 1.0
14:10:32:796 119813637 26186567 594826 10016 1.0
14:10:32:996 119814350 26406283 588427 9968 1.0
14:10:33:196 119813224 26711816 587516 9856 1.0
14:10:33:396 119814580 26383563 588329 9931 1.0
