TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
21:08:22:255,232330,198349,0,201,0
21:08:22:455,120000983,47325252,2277184,118,0
21:08:22:655,120000504,47103014,2273983,105,0
21:08:22:855,120000621,47028769,2272967,114,0
21:08:23:055,120001277,47155132,2268435,109,0
21:08:23:255,120001386,47163373,2266342,109,0
21:08:23:455,120001510,47214259,2272326,105,0
21:08:23:655,120001144,47182359,2267613,115,0
21:08:23:855,120001167,47254808,2276941,103,0
21:08:24:055,120000628,47039341,2263000,110,0
21:08:24:255,120000869,47015338,2273368,105,0
21:08:24:455,120000782,47214851,2275636,108,0
21:08:24:655,120000649,47077832,2273881,110,0
21:08:24:855,120001050,47027847,2261784,109,0
21:08:25:055,120001427,47135158,2263089,110,0
21:08:25:255,120001142,47203468,2270985,106,0
21:08:25:455,120000519,47131837,2266417,110,0
21:08:25:655,120000975,47173507,2275343,103,0
21:08:25:855,120000590,47346410,2277307,103,0
21:08:26:055,120000653,47079038,2273427,103,0
21:08:26:255,120000905,46965985,2272829,112,0
21:08:26:455,120001193,47038685,2270491,116,0
21:08:26:655,120001560,47204012,2270612,114,0
21:08:26:855,120001133,47252329,2276906,113,0
21:08:27:055,120001295,47178432,2267740,110,0
21:08:27:255,120001220,47218786,2272232,108,0
21:08:27:455,120001504,47197933,2270275,106,0
21:08:27:655,120001107,47182849,2268736,107,0
21:08:27:855,120000805,47126035,2268771,99,0
21:08:28:055,120000467,47260081,2275641,108,0
21:08:28:255,120001128,47366090,2282636,108,0
21:08:28:455,120001246,47382003,2291369,109,0
21:08:28:655,120001334,47264544,2277332,101,0
21:08:28:855,120001159,47289490,2281214,111,0
21:08:29:055,120001070,47370994,2289962,102,0
21:08:29:255,120001040,47248856,2275894,116,0
21:08:29:455,120001206,47174947,2268179,106,0
21:08:29:655,120001113,47212216,2271452,106,0
21:08:29:855,120001175,47272786,2278594,107,0
21:08:30:055,120002101,47262789,2277919,104,0
21:08:30:255,120001084,47345306,2286477,112,0
21:08:30:455,120000886,47558009,2281818,120,0
21:08:30:655,120000961,47238419,2275571,112,0
21:08:30:855,120000725,47171781,2275315,112,0
21:08:31:055,120000576,47307410,2277253,113,0
21:08:31:255,120000676,47194459,2276045,113,0
21:08:31:455,120000794,47272152,2276033,102,0
21:08:31:655,120000665,47260730,2276556,112,0
21:08:31:855,120000770,47241253,2275454,110,0
21:08:32:055,120000601,47620023,2281585,101,0
21:08:32:255,120001068,47400746,2285667,109,0
21:08:32:455,120001182,47245003,2275520,117,0
21:08:32:655,120001241,47294179,2280995,109,0
21:08:32:855,120000779,47077517,2262934,99,0
21:08:33:055,120001044,47340489,2280550,102,0
21:08:33:255,120000861,47357107,2287951,109,0
21:08:33:455,120001274,47271509,2278690,98,0
21:08:33:655,120001492,47282434,2279477,104,0
21:08:33:855,120001163,47288185,2280369,105,0
21:08:34:055,120001082,47254111,2275959,115,0
21:08:34:255,120001362,47285377,2280291,100,0
21:08:34:455,120000996,47360347,2288091,118,0
21:08:34:655,120000490,47468563,2279815,110,0
21:08:34:855,120000841,47429194,2278705,112,0
21:08:35:055,120001116,47532567,2281329,115,0
21:08:35:255,120001088,47409623,2294398,106,0
21:08:35:455,120001055,47334517,2285379,106,0
21:08:35:655,120001061,47102587,2259424,108,0
21:08:35:855,120001278,47284234,2279909,110,0
21:08:36:055,120001330,47370364,2288799,104,0
21:08:36:255,120000577,47450272,2289515,111,0
21:08:36:455,120000499,47413237,2278594,100,0
21:08:36:655,120000583,47334517,2277225,109,0
21:08:36:855,120000941,47489203,2279183,110,0
21:08:37:055,120001271,47377592,2281096,118,0
21:08:37:655,120000454,265133770,403,158,0
21:08:37:655,120000454,265133770,403,158,0
21:08:37:855,120000834,58906554,2135648,114,0
21:08:38:055,120001168,47333679,2284197,104,0
21:08:38:256,120001421,47298175,2281700,114,0
21:08:38:456,120001038,47345738,2286471,108,0
21:08:38:656,120001155,47275047,2279213,112,0
21:08:38:856,120001249,47297320,2281115,112,0
21:08:39:056,120000745,47685104,2290746,105,0
21:08:39:256,120000799,47220355,2276268,105,0
21:08:39:456,120000658,47428501,2278912,109,0
21:08:39:656,120000690,47289621,2276681,107,0
21:08:39:856,120001585,47406327,2280358,98,0
21:08:40:056,120001194,47345443,2286911,108,0
21:08:40:256,120000980,47285602,2280011,105,0
21:08:40:456,120001583,47321350,2283695,109,0
21:08:40:656,120001098,47148001,2264914,104,0
21:08:40:856,120000606,47081796,2262229,102,0
21:08:41:056,120001430,47469516,2295366,112,0
21:08:41:256,120001641,47361314,2288475,111,0
21:08:41:456,120001165,47246515,2275825,106,0
21:08:41:656,120000788,47512704,2289636,102,0
21:08:41:856,120000724,47275637,2276100,102,0
21:08:42:056,120000797,47257427,2276332,106,0
21:08:42:256,120000881,47252885,2276379,105,0
21:08:42:456,120000690,47119191,2274807,103,0
21:08:42:656,120000778,47450109,2278924,119,0
21:08:42:856,120000622,47104017,2274179,111,0
21:08:43:056,120000895,47438293,2278393,103,0
21:08:43:256,120000737,47501705,2279823,106,0
21:08:43:456,120001228,47395182,2280920,116,0
21:08:43:656,120000945,47277178,2278820,107,0
21:08:43:856,120001353,47426722,2295275,108,0
21:08:44:056,120001899,47315883,2283706,105,0
21:08:44:256,120001479,47284922,2279923,117,0
21:08:44:456,120000487,47643977,2285444,119,0
21:08:44:656,120000515,47127699,2274185,104,0
21:08:44:856,120000923,47236348,2275962,106,0
21:08:45:056,120000619,47368673,2277784,106,0
21:08:45:256,120000619,47383822,2278002,104,0
21:08:45:456,120001032,47488811,2283994,113,0
21:08:45:656,120001335,47304979,2281899,104,0
21:08:45:856,120001033,47296483,2280933,119,0
21:08:46:056,120001169,47472595,2300734,108,0
21:08:46:256,120001280,47177044,2268068,110,0
21:08:46:456,120000683,47529690,2288396,110,0
21:08:46:656,120000526,47447178,2278673,110,0
21:08:46:856,120000642,47240709,2275843,104,0
21:08:47:056,120001126,47590253,2286876,108,0
21:08:47:256,120001230,47350719,2286725,113,0
21:08:47:456,120001412,47271857,2278769,107,0
21:08:47:656,120001140,47279637,2279919,106,0
21:08:47:856,120000990,47402467,2293105,112,0
21:08:48:056,120000471,47464416,2279643,115,0
21:08:48:256,120000507,47648363,2281334,109,0
21:08:48:456,120000462,47361057,2282258,106,0
21:08:48:656,120001067,47438365,2297305,106,0
21:08:48:856,120001123,47208364,2271909,109,0
21:08:49:056,120001300,47305123,2282628,106,0
21:08:49:256,120001066,47258404,2277290,110,0
21:08:49:456,120001053,47468295,2290611,104,0
21:08:49:656,120000720,47462672,2278837,106,0
21:08:49:856,120000486,47346138,2276828,114,0
21:08:50:056,120001450,47534705,2283290,116,0
21:08:50:256,120000657,47042830,2270975,102,0
21:08:50:456,120001405,47517218,2287898,112,0
21:08:50:656,120001306,47248594,2275681,106,0
21:08:50:856,120001641,47375242,2289586,125,0
21:08:51:056,120000957,47420170,2294096,110,0
