TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
21:08:10:227,232174,196179,0,210,0
21:08:10:427,120001058,49562931,2381768,120,0
21:08:10:627,120000896,49525165,2377769,115,0
21:08:10:827,120001528,49520501,2379846,118,0
21:08:11:027,120001355,49563476,2406033,101,0
21:08:11:227,120000975,49658236,2389160,110,0
21:08:11:427,120001618,49691077,2382018,111,0
21:08:11:627,120001218,49515801,2399637,103,0
21:08:11:827,120000817,49593929,2393409,114,0
21:08:12:027,120001085,49819828,2383758,113,0
21:08:12:227,120001266,49348432,2381750,106,0
21:08:12:427,120001064,49469239,2395073,106,0
21:08:12:627,120000633,49626368,2393287,113,0
21:08:12:827,120000768,49758861,2381652,106,0
21:08:13:027,120001517,49472173,2394000,109,0
21:08:13:227,120001158,49416022,2388045,111,0
21:08:13:427,120000769,49472364,2385790,112,0
21:08:13:627,120000665,49693563,2380381,111,0
21:08:13:827,120001333,49635701,2395453,112,0
21:08:14:027,120001260,49503338,2398123,108,0
21:08:14:227,120000973,49798301,2383292,119,0
21:08:14:427,120001311,49562485,2388071,113,0
21:08:14:627,120001109,49451516,2392658,113,0
21:08:14:827,120000476,49506500,2389947,121,0
21:08:15:027,120000656,49637718,2380305,106,0
21:08:15:227,120001149,49582878,2384403,127,0
21:08:15:427,120001516,49455323,2393028,110,0
21:08:15:627,120000783,49505998,2394877,109,0
21:08:15:827,120000985,49963861,2389210,117,0
21:08:16:027,120001250,49573509,2405588,103,0
21:08:16:227,120001062,49972658,2388489,112,0
21:08:16:427,120001181,49467658,2390990,127,0
21:08:16:627,120002009,49523777,2400490,108,0
21:08:16:827,120000923,49760428,2381536,111,0
21:08:17:027,120001212,49774256,2408325,119,0
21:08:17:227,120000774,49779753,2391379,118,0
21:08:17:427,120001270,49665212,2389616,119,0
21:08:17:627,120000527,49591017,2406705,101,0
21:08:17:827,120001116,49970356,2387040,110,0
21:08:18:027,120001146,49616567,2410446,124,0
21:08:18:227,120000888,49937994,2386219,114,0
21:08:18:427,120001169,49519173,2396384,109,0
21:08:18:627,120000825,49850106,2401948,114,0
21:08:18:827,120001455,49692021,2390379,118,0
21:08:19:027,120001366,49546493,2403090,102,0
21:08:19:227,120001049,50029755,2392321,115,0
21:08:19:427,120001231,49573279,2406129,106,0
21:08:19:627,120000742,49679980,2385121,105,0
21:08:19:827,120001300,49821352,2402070,105,0
21:08:20:027,120000612,49583582,2396340,107,0
21:08:20:227,120001163,49922862,2391772,112,0
21:08:20:427,120001095,49561010,2404504,117,0
21:08:20:627,120000635,49842037,2385633,113,0
21:08:20:827,120001280,49604206,2395522,113,0
21:08:21:027,120000697,49626842,2400057,123,0
21:08:21:227,120001043,49923198,2392589,117,0
21:08:21:427,120000845,49677610,2407962,111,0
21:08:21:627,120000650,49730238,2381185,112,0
21:08:21:827,120001128,49521951,2386918,105,0
21:08:22:027,120001446,49565969,2405259,107,0
21:08:22:227,120000775,49835252,2383369,107,0
21:08:22:427,120001141,49662759,2403116,107,0
21:08:22:627,120000528,49758604,2395490,117,0
21:08:22:827,120001118,49672971,2384858,109,0
21:08:23:027,120001425,49555999,2403623,118,0
21:08:23:227,120000516,49947323,2390485,110,0
21:08:23:427,120001170,49557422,2396073,113,0
21:08:23:627,120000631,49733914,2400187,116,0
