Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
510,1.0,1.0,0,1.0,1.3028424979668123,0.5079226364692351
511,1.0,1.0,1,1.0,2.014661087723308,0.5079226364692351
512,1.0,1.0,2,1.0,1.60932023973311,0.5079226364692351
513,1.0,1.0,3,1.0,1.4756530497706308,0.5079226364692351
514,1.0,1.0,4,1.0,1.534763367270129,0.5079226364692351
515,1.0,1.0,5,1.0,1.739497889647765,0.5079226364692351
516,1.0,1.0,6,1.0,1.7625591106162586,0.5079226364692351
517,1.0,1.0,7,1.0,1.4762432612675342,0.5079226364692351
518,1.0,1.0,8,1.0,1.4762432612675342,0.5079226364692351
519,1.0,1.0,9,1.0,2.068412661462462,0.5079226364692351
520,1.0,1.0,10,1.0,2.281488129849006,0.5079226364692351
521,1.0,1.0,11,1.0,1.4762432612675342,0.5079226364692351
522,1.0,1.0,12,1.0,1.4762432612675342,0.5079226364692351
523,1.0,1.0,13,1.0,2.5823872891671016,0.5079226364692351
524,1.0,1.0,14,1.0,2.3058512821922097,0.5079226364692351
525,1.0,1.0,15,1.0,2.3058512821922097,0.5079226364692351
526,1.0,1.0,16,1.0,2.3058512821922097,0.5079226364692351
527,1.0,1.0,17,1.0,2.8180847142943506,0.5079226364692351
528,1.0,1.0,18,1.0,2.8180847142943506,0.5079226364692351
529,1.0,1.0,19,1.0,3.8957814048042287,0.5079226364692351
530,1.0,1.0,20,1.0,2.8180847142943506,0.5079226364692351
531,1.0,1.0,21,1.0,1.9697730567297165,0.5079226364692351
532,1.0,1.0,22,1.0,2.2988951587072797,0.5079226364692351
533,1.0,1.0,23,1.0,3.8786039898116442,0.5079226364692351
534,1.0,1.0,24,1.0,2.358486564571278,0.5079226364692351
535,1.0,1.0,25,1.0,1.562401225937704,0.5079226364692351
536,1.0,1.0,26,1.0,1.4327173758804888,0.5079226364692351
537,1.0,1.0,27,1.0,1.4327173758804888,0.5079226364692351
538,1.0,1.0,28,1.0,1.4554571779298666,0.5079226364692351
539,1.0,1.0,29,1.0,1.441657178395611,0.5079226364692351
540,1.0,1.0,30,1.0,2.452134029590428,0.5079226364692351
541,1.0,1.0,31,1.0,1.9151737905793131,0.5079226364692351
542,1.0,1.0,32,1.0,2.0425049827666664,0.5079226364692351
543,1.0,1.0,33,1.0,1.8373271253892167,0.5079226364692351
544,1.0,1.0,34,1.0,1.8373271253892167,0.5079226364692351
545,1.0,1.0,35,1.0,1.8373271253892167,0.5079226364692351
546,1.0,1.0,36,1.0,1.8373271253892167,0.5079226364692351
547,1.0,1.0,37,1.0,1.8373271253892167,0.5079226364692351
548,1.0,1.0,38,1.0,2.1032768092525145,0.5079226364692351
549,1.0,1.0,39,1.0,2.1032768092525145,0.5079226364692351
550,1.0,1.0,40,1.0,1.760569746919253,0.5079226364692351
551,1.0,1.0,41,1.0,1.7688328858154054,0.5079226364692351
552,1.0,1.0,42,1.0,1.3749405213804455,0.5079226364692351
553,1.0,1.0,43,1.0,1.7122463870838498,0.5079226364692351
554,1.0,1.0,44,1.0,2.179969976642768,0.5079226364692351
555,1.0,1.0,45,1.0,1.7833330877773275,0.5079226364692351
556,1.0,1.0,46,1.0,1.9418493328589448,0.5079226364692351
557,1.0,1.0,47,1.0,1.8203616201731911,0.5079226364692351
558,1.0,1.0,48,1.0,2.029937354921452,0.5079226364692351
559,1.0,1.0,49,1.0,1.8203616201731911,0.5079226364692351
560,1.0,1.0,50,1.0,1.8203616201731911,0.5079226364692351
561,1.0,1.0,51,1.0,1.6576467521984766,0.5079226364692351
562,1.0,1.0,52,1.0,1.7388160144929048,0.5079226364692351
563,1.0,1.0,53,1.0,1.672985038865581,0.5079226364692351
564,1.0,1.0,54,1.0,1.3773804790293656,0.5079226364692351
565,1.0,1.0,55,1.0,1.3794619334083866,0.5079226364692351
566,1.0,1.0,56,1.0,1.944232412025401,0.5079226364692351
567,1.0,1.0,57,1.0,1.5382145240455096,0.5079226364692351
568,1.0,1.0,58,1.0,1.5382145240455096,0.5079226364692351
569,1.0,1.0,59,1.0,1.5382145240455096,0.5079226364692351
570,1.0,1.0,60,1.0,2.249632256634631,0.5079226364692351
571,1.0,1.0,61,1.0,2.249632256634631,0.5079226364692351
572,1.0,1.0,62,1.0,2.249632256634631,0.5079226364692351
573,1.0,1.0,63,1.0,2.249632256634631,0.5079226364692351
574,1.0,1.0,64,1.0,2.249632256634631,0.5079226364692351
575,1.0,1.0,65,1.0,2.249632256634631,0.5079226364692351
576,1.0,1.0,66,1.0,2.249632256634631,0.5079226364692351
577,1.0,1.0,67,1.0,2.249632256634631,0.5079226364692351
578,1.0,1.0,68,1.0,2.249632256634631,0.5079226364692351
579,1.0,1.0,69,1.0,2.249632256634631,0.5079226364692351
580,1.0,1.0,70,1.0,1.9726152652293962,0.5079226364692351
581,1.0,1.0,71,1.0,1.9726152652293962,0.5079226364692351
582,1.0,1.0,72,1.0,1.87675582330303,0.5079226364692351
583,1.0,1.0,73,1.0,1.87675582330303,0.5079226364692351
584,1.0,1.0,74,1.0,1.87675582330303,0.5079226364692351
585,1.0,1.0,75,1.0,2.3317053828792638,0.5079226364692351
586,1.0,1.0,76,1.0,2.9028410188388025,0.5079226364692351
587,1.0,1.0,77,1.0,2.798998175937111,0.5079226364692351
588,1.0,1.0,78,1.0,2.954762440289884,0.5079226364692351
589,1.0,1.0,79,1.0,2.69515533303542,0.5079226364692351
590,1.0,1.0,80,1.0,3.1105267046426572,0.5079226364692351
591,1.0,1.0,81,1.0,3.370133811897122,0.5079226364692351
592,1.0,1.0,82,1.0,2.7470767544865016,0.5079226364692351
593,1.0,1.0,83,1.0,1.9163340112720262,0.5079226364692351
