Fold,Strategy,Accuracy,TP,FP,TN,FN,FPR,Recall,F1_Score,Threshold
1,Baseline,0.990652,83321,75,9619,802,0.007737,0.990466,0.994765,0.988716
1,Undersampling,0.998518,84048,64,9630,75,0.006602,0.999108,0.999174,0.156903
1,Oversampling,0.999414,84113,45,9649,10,0.004642,0.999881,0.999673,0.177833
1,LabelShuffle,0.103649,34,4,9690,84089,0.000413,0.000404,0.000808,0.565250
2,Baseline,0.999627,84092,4,9690,31,0.000413,0.999631,0.999792,0.356966
2,Undersampling,0.999766,84113,12,9682,10,0.001238,0.999881,0.999869,0.384518
2,Oversampling,0.999989,84122,0,9694,1,0.000000,0.999988,0.999994,0.218811
2,LabelShuffle,0.103116,0,20,9674,84123,0.002063,0.000000,0.000000,0.693085
3,Baseline,0.999840,84120,12,9682,3,0.001238,0.999964,0.999911,0.472036
3,Undersampling,0.999925,84120,4,9690,3,0.000413,0.999964,0.999958,0.552450
3,Oversampling,0.999179,84047,1,9693,76,0.000103,0.999097,0.999542,0.473833
3,LabelShuffle,0.103691,45,11,9683,84078,0.001135,0.000535,0.001069,0.638004
4,Baseline,0.998923,84086,64,9630,37,0.006602,0.999560,0.999400,0.810107
4,Undersampling,0.998870,84089,72,9622,34,0.007427,0.999596,0.999370,0.227076
4,Oversampling,0.998380,84105,134,9560,18,0.013823,0.999786,0.999097,0.272342
4,LabelShuffle,0.103276,0,5,9689,84123,0.000516,0.000000,0.000000,0.589459
5,Baseline,0.999723,84099,0,9698,26,0.000000,0.999691,0.999845,0.421992
5,Undersampling,0.999989,84125,1,9697,0,0.000103,1.000000,0.999994,0.335067
5,Oversampling,0.999083,84041,2,9696,84,0.000206,0.999001,0.999489,0.166263
5,LabelShuffle,0.113330,943,8,9690,83182,0.000825,0.011210,0.022168,0.605398
