file_name,window_idx,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,label
dados_spectre.txt,0,0.000673,0.004555,0.186493,0.299630,0.000000,0.000620,0.004517,0.188536,0.299629,0.200000,0.000594,0.004516,0.189130,0.299627,0.200000,0.000685,0.004495,0.187839,0.299630,0.200000,0.000700,0.004562,0.187286,0.299627,0.400000,1.0
dados_spectre.txt,1,0.000620,0.004517,0.188536,0.299629,0.200000,0.000594,0.004516,0.189130,0.299627,0.200000,0.000685,0.004495,0.187839,0.299630,0.200000,0.000700,0.004562,0.187286,0.299627,0.400000,0.000571,0.004521,0.189271,0.299629,0.200000,1.0
dados_spectre.txt,2,0.000594,0.004516,0.189130,0.299627,0.200000,0.000685,0.004495,0.187839,0.299630,0.200000,0.000700,0.004562,0.187286,0.299627,0.400000,0.000571,0.004521,0.189271,0.299629,0.200000,0.000623,0.004515,0.188852,0.299628,0.200000,1.0
dados_spectre.txt,3,0.000685,0.004495,0.187839,0.299630,0.200000,0.000700,0.004562,0.187286,0.299627,0.400000,0.000571,0.004521,0.189271,0.299629,0.200000,0.000623,0.004515,0.188852,0.299628,0.200000,0.000670,0.004513,0.187902,0.299629,0.200000,1.0
dados_spectre.txt,4,0.000700,0.004562,0.187286,0.299627,0.400000,0.000571,0.004521,0.189271,0.299629,0.200000,0.000623,0.004515,0.188852,0.299628,0.200000,0.000670,0.004513,0.187902,0.299629,0.200000,0.000750,0.004541,0.186865,0.299630,0.400000,1.0
dados_spectre.txt,5,0.000571,0.004521,0.189271,0.299629,0.200000,0.000623,0.004515,0.188852,0.299628,0.200000,0.000670,0.004513,0.187902,0.299629,0.200000,0.000750,0.004541,0.186865,0.299630,0.400000,0.000649,0.004513,0.188934,0.299627,0.200000,1.0
dados_spectre.txt,6,0.000623,0.004515,0.188852,0.299628,0.200000,0.000670,0.004513,0.187902,0.299629,0.200000,0.000750,0.004541,0.186865,0.299630,0.400000,0.000649,0.004513,0.188934,0.299627,0.200000,0.000651,0.004516,0.188466,0.299627,0.200000,1.0
dados_spectre.txt,7,0.000670,0.004513,0.187902,0.299629,0.200000,0.000750,0.004541,0.186865,0.299630,0.400000,0.000649,0.004513,0.188934,0.299627,0.200000,0.000651,0.004516,0.188466,0.299627,0.200000,0.000601,0.004520,0.188841,0.299631,0.200000,1.0
dados_spectre.txt,8,0.000750,0.004541,0.186865,0.299630,0.400000,0.000649,0.004513,0.188934,0.299627,0.200000,0.000651,0.004516,0.188466,0.299627,0.200000,0.000601,0.004520,0.188841,0.299631,0.200000,0.000587,0.004563,0.188497,0.299630,0.400000,1.0
dados_spectre.txt,9,0.000649,0.004513,0.188934,0.299627,0.200000,0.000651,0.004516,0.188466,0.299627,0.200000,0.000601,0.004520,0.188841,0.299631,0.200000,0.000587,0.004563,0.188497,0.299630,0.400000,0.000682,0.004493,0.188191,0.299628,0.200000,1.0
dados_spectre.txt,10,0.000651,0.004516,0.188466,0.299627,0.200000,0.000601,0.004520,0.188841,0.299631,0.200000,0.000587,0.004563,0.188497,0.299630,0.400000,0.000682,0.004493,0.188191,0.299628,0.200000,0.000688,0.004509,0.187672,0.299627,0.200000,1.0
dados_spectre.txt,11,0.000601,0.004520,0.188841,0.299631,0.200000,0.000587,0.004563,0.188497,0.299630,0.400000,0.000682,0.004493,0.188191,0.299628,0.200000,0.000688,0.004509,0.187672,0.299627,0.200000,0.000679,0.004514,0.188035,0.299628,0.200000,1.0
dados_spectre.txt,12,0.000587,0.004563,0.188497,0.299630,0.400000,0.000682,0.004493,0.188191,0.299628,0.200000,0.000688,0.004509,0.187672,0.299627,0.200000,0.000679,0.004514,0.188035,0.299628,0.200000,0.000599,0.004566,0.188658,0.299630,0.400000,1.0
dados_spectre.txt,13,0.000682,0.004493,0.188191,0.299628,0.200000,0.000688,0.004509,0.187672,0.299627,0.200000,0.000679,0.004514,0.188035,0.299628,0.200000,0.000599,0.004566,0.188658,0.299630,0.400000,0.000664,0.004517,0.188255,0.299627,0.200000,1.0
dados_spectre.txt,14,0.000688,0.004509,0.187672,0.299627,0.200000,0.000679,0.004514,0.188035,0.299628,0.200000,0.000599,0.004566,0.188658,0.299630,0.400000,0.000664,0.004517,0.188255,0.299627,0.200000,0.000634,0.004502,0.187030,0.299629,0.200000,1.0
dados_spectre.txt,15,0.000679,0.004514,0.188035,0.299628,0.200000,0.000599,0.004566,0.188658,0.299630,0.400000,0.000664,0.004517,0.188255,0.299627,0.200000,0.000634,0.004502,0.187030,0.299629,0.200000,0.000741,0.004491,0.186728,0.299627,0.200000,1.0
dados_spectre.txt,16,0.000599,0.004566,0.188658,0.299630,0.400000,0.000664,0.004517,0.188255,0.299627,0.200000,0.000634,0.004502,0.187030,0.299629,0.200000,0.000741,0.004491,0.186728,0.299627,0.200000,0.000660,0.004561,0.186473,0.299631,0.400000,1.0
dados_spectre.txt,17,0.000664,0.004517,0.188255,0.299627,0.200000,0.000634,0.004502,0.187030,0.299629,0.200000,0.000741,0.004491,0.186728,0.299627,0.200000,0.000660,0.004561,0.186473,0.299631,0.400000,0.000661,0.004515,0.188081,0.299627,0.200000,1.0
dados_spectre.txt,18,0.000634,0.004502,0.187030,0.299629,0.200000,0.000741,0.004491,0.186728,0.299627,0.200000,0.000660,0.004561,0.186473,0.299631,0.400000,0.000661,0.004515,0.188081,0.299627,0.200000,0.000609,0.004519,0.188762,0.299630,0.200000,1.0
dados_spectre.txt,19,0.000741,0.004491,0.186728,0.299627,0.200000,0.000660,0.004561,0.186473,0.299631,0.400000,0.000661,0.004515,0.188081,0.299627,0.200000,0.000609,0.004519,0.188762,0.299630,0.200000,0.000618,0.004510,0.188596,0.299627,0.200000,1.0
dados_spectre.txt,20,0.000660,0.004561,0.186473,0.299631,0.400000,0.000661,0.004515,0.188081,0.299627,0.200000,0.000609,0.004519,0.188762,0.299630,0.200000,0.000618,0.004510,0.188596,0.299627,0.200000,0.000690,0.004562,0.187244,0.299628,0.400000,1.0
dados_spectre.txt,21,0.000661,0.004515,0.188081,0.299627,0.200000,0.000609,0.004519,0.188762,0.299630,0.200000,0.000618,0.004510,0.188596,0.299627,0.200000,0.000690,0.004562,0.187244,0.299628,0.400000,0.000611,0.004521,0.188640,0.299626,0.200000,1.0
dados_spectre.txt,22,0.000609,0.004519,0.188762,0.299630,0.200000,0.000618,0.004510,0.188596,0.299627,0.200000,0.000690,0.004562,0.187244,0.299628,0.400000,0.000611,0.004521,0.188640,0.299626,0.200000,0.000590,0.004519,0.189015,0.299627,0.200000,1.0
dados_spectre.txt,23,0.000618,0.004510,0.188596,0.299627,0.200000,0.000690,0.004562,0.187244,0.299628,0.400000,0.000611,0.004521,0.188640,0.299626,0.200000,0.000590,0.004519,0.189015,0.299627,0.200000,0.000588,0.004518,0.189166,0.299627,0.200000,1.0
dados_spectre.txt,24,0.000690,0.004562,0.187244,0.299628,0.400000,0.000611,0.004521,0.188640,0.299626,0.200000,0.000590,0.004519,0.189015,0.299627,0.200000,0.000588,0.004518,0.189166,0.299627,0.200000,0.000673,0.004549,0.187423,0.299627,0.400000,1.0
